Nicolle19Name,Horseybark1_final,Horseybark2_final,forming ribbons_final,mallee
Eucalyptus polybractea,smooth with stocking,smooth with stocking,s,yes
Eucalyptus populnea,subfibrous - box,subfibrous - rough / box / tessellated,s,no
Eucalyptus porosa,halfbark,smooth with stocking,s,mallee
Eucalyptus porosa,subfibrous - box,subfibrous - rough / box / tessellated,s,tree
Eucalyptus prava,smooth,smooth,n,no
Eucalyptus propinqua,smooth,smooth,n,no
Eucalyptus psammitica,subfibrous - stringy,subfibrous - stringy / peppermint,n,no
Eucalyptus pseudoglobulus,smooth with stocking,smooth with stocking,y,no
Eucalyptus pulverulenta,smooth,smooth,y,both
Eucalyptus pumila,smooth,smooth,s,yes
Eucalyptus punctata,smooth,smooth,n,no
Eucalyptus pyrocarpa,subfibrous - stringy,subfibrous - stringy / peppermint,y,no
Eucalyptus quadrangulata,subfibrous - box,subfibrous - rough / box / tessellated,s,no
Eucalyptus racemosa,smooth,smooth,s,both
Eucalyptus radiata,subfibrous - peppermint,subfibrous - stringy / peppermint,s,no
Eucalyptus recurva,smooth,smooth,y,yes
Eucalyptus resinifera,subfibrous - stringy,subfibrous - stringy / peppermint,n,no
Eucalyptus robertsonii,subfibrous - peppermint,subfibrous - stringy / peppermint,s,no
Eucalyptus robusta,subfibrous - stringy,subfibrous - stringy / peppermint,n,no
Eucalyptus rossii,smooth,smooth,s,no
Eucalyptus rubida,smooth with stocking,smooth with stocking,y,no
Eucalyptus rudderi,subfibrous - box,subfibrous - rough / box / tessellated,n,no
Eucalyptus rummeryi,subfibrous - box,subfibrous - rough / box / tessellated,n,no
Eucalyptus saligna,smooth with stocking,smooth with stocking,s,no
Eucalyptus saxatilis,smooth,smooth,y,both
Eucalyptus scias,subfibrous - stringy,subfibrous - stringy / peppermint,n,both
Eucalyptus scoparia,smooth,smooth,n,no
Eucalyptus scopulorum,ironbark,ironbark,n,no
Eucalyptus seeana,smooth,smooth,n,no
Eucalyptus siderophloia,ironbark,ironbark,n,no
Eucalyptus sideroxylon,ironbark,ironbark,n,no
Eucalyptus sieberi,subfibrous - rough,subfibrous - rough / box / tessellated,y,no
Eucalyptus smithii,smooth,smooth,y,mallee
Eucalyptus smithii,halfbark,smooth with stocking,y,tree
Eucalyptus socialis,halfbark,smooth with stocking,y,mallee
Eucalyptus socialis,smooth with stocking,smooth with stocking,y,tree
Eucalyptus sparsifolia,stringybark,stringybark,n,no
Eucalyptus squamosa,subfibrous - tessellated,subfibrous - rough / box / tessellated,n,no
Eucalyptus stellulata,smooth with stocking,smooth with stocking,s,both
Eucalyptus stenostoma,smooth with stocking,smooth with stocking,s,no
Eucalyptus stricta,smooth,smooth,s,yes
Eucalyptus sturgissiana,smooth,smooth,s,yes
Eucalyptus subcaerulea,stringybark,stringybark,n,no
Eucalyptus tenella,stringybark,stringybark,n,no
Eucalyptus tereticornis,smooth with stocking,smooth with stocking,n,no
Eucalyptus tetrapleura,ironbark,ironbark,n,no
Eucalyptus tindaliae,stringybark,stringybark,n,both
Eucalyptus tricarpa,ironbark,ironbark,n,no
Eucalyptus triflora,smooth,smooth,y,mallee
Eucalyptus triflora,smooth with stocking,smooth with stocking,y,tree
Eucalyptus umbra,subfibrous - stringy,subfibrous - stringy / peppermint,n,both
Eucalyptus vicina,smooth,smooth,n,both
Eucalyptus viminalis,smooth with stocking,smooth with stocking,y,no
Eucalyptus viridis,halfbark,smooth with stocking,s,both
Eucalyptus volcanica,subfibrous - box,subfibrous - rough / box / tessellated,s,no
Eucalyptus wilcoxii,smooth,smooth,y,both
Eucalyptus williamsiana,stringybark,stringybark,n,no
Eucalyptus woollsiana,subfibrous - box,subfibrous - rough / box / tessellated,s,no
Eucalyptus x castrensis,smooth with stocking,smooth with stocking,n,yes
Eucalyptus x conjucta,stringybark,stringybark,n,no
Eucalyptus x robertsonii subsp. hemispherica,subfibrous - peppermint,subfibrous - stringy / peppermint,s,no
Eucalyptus x sp. Cattai,subfibrous - tessellated,subfibrous - rough / box / tessellated,n,no
Eucalyptus youmanii,stringybark,stringybark,n,no
Syncarpia glomulifera,stringybark,stringybark,n,no
