spp_short,Horseyspecies,BioNetspecies,bark1,bark2,ribbons
E. globulus subsp. bicostata,Eucalyptus globulus subsp. bicostata,Eucalyptus bicostata,smooth - short stocking,smooth with stocking,y
E. globulus subsp. maidenii,Eucalyptus globulus subsp. maindenii,Eucalyptus maidenii,smooth - short stocking,smooth with stocking,y
E. goniocalyx,Eucalyptus goniocalyx,Eucalyptus goniocalyx,subfibrous - box,subfibrous - box / peppermint,s
E. grandis,Eucalyptus grandis,Eucalyptus grandis,smooth - short stocking,smooth with stocking,s
E. haemastoma,Eucalyptus haemastoma,Eucalyptus haemastoma,smooth,smooth,s
E. laevopinea,Eucalyptus laevopinea,Eucalyptus laevopinea,stringybark,stringybark,s
E. largiflorens,Eucalyptus largiflorens,Eucalyptus largiflorens,subfibrous - box,subfibrous - box / peppermint,n
E. longifolia,Eucalyptus longifolia,Eucalyptus longifolia,subfibrous - box,subfibrous - box / peppermint,s
E. macrorhyncha,Eucalyptus macrorhyncha,Eucalyptus macrorhyncha,stringybark,stringybark,n
E. mannifera,Eucalyptus mannifera,Eucalyptus mannifera,smooth,smooth,s
E. melanophloia,Eucalyptus melanophloia,Eucalyptus melanophloia,ironbark,ironbark,n
E. melliodora,Eucalyptus melliodora,Eucalyptus melliodora,subfibrous - rough,subfibrous - rough / tellellated,s
E. microcarpa,Eucalyptus microcarpa,Eucalyptus microcarpa,subfibrous - box,subfibrous - box / peppermint,s
E. microcorys,Eucalyptus microcorys,Eucalyptus microcorys,stringybark,stringybark,n
E. moluccana,Eucalyptus moluccana,Eucalyptus moluccana,subfibrous - box,subfibrous - box / peppermint,y
E. muelleriana,Eucalyptus muelleriana,Eucalyptus muelleriana,stringybark,stringybark,n
E. nitens,Eucalyptus nitens,Eucalyptus nitens,smooth - short stocking,smooth with stocking,y
E. nobilis,Eucalyptus nobilis,Eucalyptus nobilis,smooth - short stocking,smooth with stocking,y
E. nortonii,Eucalyptus nortonii,Eucalyptus nortonii,subfibrous - rough,subfibrous - rough / tellellated,s
E. nova-anglica,Eucalyptus nova-anglica,Eucalyptus nova-anglica,subfibrous - rough,subfibrous - rough / tellellated,s
E. obliqua,Eucalyptus obliqua,Eucalyptus obliqua,stringybark,stringybark,s
E. oreades,Eucalyptus oreades,Eucalyptus oreades,smooth - short stocking,smooth with stocking,y
E. paniculata,Eucalyptus paniculata subsp. paniculata,Eucalyptus paniculata,ironbark,ironbark,n
E. paniculata,Eucalyptus paniculata subsp. paniculata,Eucalyptus paniculata subsp. paniculata,ironbark,ironbark,n
E. parramattensis subsp. decadens,Eucalyptus parramattensis subsp. decadens,Eucalyptus parramattensis subsp. decadens,smooth,smooth,n
E. parramattensis subsp. parramattensis,Eucalyptus parramattensis subsp. parramattensis,Eucalyptus parramattensis subsp. parramattensis,smooth,smooth,n
E. pauciflora subsp. debeuzevillei,Eucalyptus pauciflora subsp. debeuzevillei,Eucalyptus debeuzevillei,smooth,smooth,s
E. pauciflora subsp. niphophila,Eucalyptus pauciflora subsp. niphophila,Eucalyptus niphophila,smooth,smooth,s
E. pauciflora,Eucalyptus pauciflora subsp. pauciflora,Eucalyptus pauciflora,smooth,smooth,s
E. woollsiana,Eucalyptus pilligaensis,Eucalyptus pilligaensis,subfibrous - box,subfibrous - box / peppermint,s
E. pilularis,Eucalyptus pilularis,Eucalyptus pilularis,half bark,subfibrous - box / peppermint,y
E. piperita,Eucalyptus piperita,Eucalyptus piperita,subfibrous - peppermint,subfibrous - box / peppermint,y
E. planchoniana,Eucalyptus planchoniana,Eucalyptus planchoniana,subfibrous - stringy,stringybark,s
E. polyanthemos subsp. polyanthemos,Eucalyptus polyanthemos subsp. polyanthemos,Eucalyptus polyanthemos subsp. polyanthemos,smooth - short stocking,smooth with stocking,n
E. polyanthemos subsp. vestita,Eucalyptus polyanthemos subsp. vestita,Eucalyptus polyanthemos subsp. vestita,subfibrous - box,subfibrous - box / peppermint,n
E. populnea,Eucalyptus populnea subsp. bimbil,Eucalyptus populnea subsp. bimbil,subfibrous - box,subfibrous - box / peppermint,s
E. prava,Eucalyptus prava,Eucalyptus prava,smooth,smooth,n
E. propinqua,Eucalyptus propinqua,Eucalyptus propinqua,smooth,smooth,n
E. punctata,Eucalyptus punctata,Eucalyptus punctata,smooth,smooth,n
E. pyrocarpa,Eucalyptus pyrocarpa,Eucalyptus pyrocarpa,half bark,subfibrous - box / peppermint,y
E. racemosa,Eucalyptus racemosa subsp. racemosa,Eucalyptus racemosa,smooth,smooth,s
E. rossii,Eucalyptus racemosa subsp. rossii,Eucalyptus rossii,smooth,smooth,s
E. radiata subsp. radiata,Eucalyptus radiata subsp. radiata,Eucalyptus radiata subsp. radiata,subfibrous - peppermint,subfibrous - box / peppermint,y
E. robertsonii,Eucalyptus radiata subsp. robersonii,Eucalyptus robertsonii,subfibrous - peppermint,subfibrous - box / peppermint,y
E. radiata subsp. sejuncta,Eucalyptus radiata subsp. sejuncta,Eucalyptus radiata subsp. sejuncta,subfibrous - peppermint,subfibrous - box / peppermint,y
E. resinifera,Eucalyptus resinifera,Eucalyptus resinifera,stringybark,stringybark,n
E. robusta,Eucalyptus robusta,Eucalyptus robusta,subfibrous - rough,subfibrous - rough / tellellated,n
E. rubida subsp. rubida,Eucalyptus rubida subsp. rubida,Eucalyptus rubida subsp. rubida,smooth - short stocking,smooth with stocking,y
E. saligna,Eucalyptus saligna,Eucalyptus saligna,smooth - short stocking,smooth with stocking,s
E. saligna X botryoides,Eucalyptus saligna X botryoides,Eucalyptus botryoides <--> saligna,smooth - stocking,smooth with stocking,s
E. scias subsp. scias,Eucalyptus scias subsp. scias,Eucalyptus scias subsp. scias,subfibrous - stringy,stringybark,n
E. siderophloia,Eucalyptus siderophloia,Eucalyptus siderophloia,ironbark,ironbark,n
E. sideroxylon,Eucalyptus sideroxylon,Eucalyptus sideroxylon,ironbark,ironbark,n
E. sieberi,Eucalyptus sieberi,Eucalyptus sieberi,subfibrous - rough,subfibrous - rough / tellellated,y
E. smithii,Eucalyptus smithii,Eucalyptus smithii,half bark,subfibrous - rough / tellellated,y
E. sparsifolia,Eucalyptus sparsifolia,Eucalyptus sparsifolia,stringybark,stringybark,n
E. stellulata,Eucalyptus stellulata,Eucalyptus stellulata,half bark,subfibrous - rough / tellellated,y
E. tereticornis,Eucalyptus tereticornis,Eucalyptus tereticornis,smooth,smooth,n
E. tindaliae,Eucalyptus tindaliae,Eucalyptus tindaliae,stringybark,stringybark,n
E. tricarpa,Eucalyptus tricarpa,Eucalyptus tricarpa,ironbark,ironbark,n
E. umbra,Eucalyptus umbra,Eucalyptus umbra,subfibrous - stringy,stringybark,n
E. viminalis,Eucalyptus viminalis,Eucalyptus viminalis,smooth - short stocking,smooth with stocking,y
E. williamsiana,Eucalyptus williamsiana,Eucalyptus williamsiana,stringybark,stringybark,n
E. youmanii,Eucalyptus youmanii,Eucalyptus youmanii,stringybark,stringybark,n
S. glomulifera,Syncarpia glomulifera,Syncarpia glomulifera,stringybark,stringybark,n
